Week,Class Day,Topic,Before Class,In Class,Date,Notes,Unit
1,Monday,Course introduction; Data science lifecycle,,,2026-08-24,,Unit 1: Wrangling
1,Wednesday,Asking questions,Homework 1 Due,Week 1 Quiz,2026-08-26,,Unit 1: Wrangling
2,Monday,Statistics review; Python foundations; Dataframes and Polars,Homework 2 Due,,2026-08-31,,Unit 1: Wrangling
2,Wednesday,Obtaining data,Project checkpoint: question memo,,2026-09-02,,Unit 1: Wrangling
3,Monday,n/a,Homework 3 Due,,2026-09-07,No class (Labor Day),Unit 1: Wrangling
3,Wednesday,Data formats; Wrangling,(Project checkpoint: groups assembled in class),Week 3 Quiz,2026-09-09,,Unit 1: Wrangling
4,Monday,Exploratory analysis,Homework 4 Due,,2026-09-14,,Unit 2: Exploring
4,Wednesday,Descriptive statistics,Coding Exercise 0 Due,,2026-09-16,,Unit 2: Exploring
5,Monday,Descriptive visualization,Homework 5 Due,,2026-09-21,,Unit 2: Exploring
5,Wednesday,Descriptive visualization,Project checkpoint: data acquisition,Week 5 Quiz,2026-09-23,,Unit 2: Exploring
6,Monday,Visualization rhetoric,Homework 6 Due,,2026-09-28,,Unit 2: Exploring
6,Wednesday,Visualization rhetoric,Coding Exercise 1 Due,,2026-09-30,,Unit 2: Exploring
7,Monday,Hypothesis testing,Homework 7 Due,,2026-10-05,Asynchronous (no in-person meeting),Unit 2: Exploring
7,Wednesday,Estimation; Sampling; Randomness,Project checkpoint: EDA,Week 7 Quiz,2026-10-07,Asynchronous (no in-person meeting),Unit 2: Exploring
8,Monday,Linear regression,Homework 8 Due,,2026-10-12,,Unit 3: Modeling
8,Wednesday,Classification,Coding Exercise 2 Due,,2026-10-14,,Unit 3: Modeling
9,Monday,Decision trees,Homework 9 Due,,2026-10-19,,Unit 3: Modeling
9,Wednesday,Support vector machines; Kernels,Project checkpoint: data documentation,Week 9 Quiz,2026-10-21,,Unit 3: Modeling
10,Monday,Clustering; Principal component analysis,Homework 10 Due,,2026-10-26,,Unit 3: Modeling
10,Wednesday,Model evaluation,Coding Exercise 3 Due,,2026-10-28,,Unit 3: Modeling
11,Monday,Recommendation systems,Homework 11 Due,,2026-11-02,,Unit 4: Adventuring
11,Wednesday,A/B testing,Project checkpoint: rhetorical analysis,Week 11 Quiz,2026-11-04,,Unit 4: Adventuring
12,Monday,Network analysis,Homework 12 Due,,2026-11-09,,Unit 4: Adventuring
12,Wednesday,Graphs; Network measures,Coding Exercise 4 Due,,2026-11-11,,Unit 4: Adventuring
13,Monday,Topic TBD (flex day),Homework 13 Due,,2026-11-16,,Unit 4: Adventuring
13,Wednesday,Topic TBD (flex day),Project checkpoint: written report,Week 13 Quiz,2026-11-18,,Unit 4: Adventuring
14,Monday,Project presentations,,,2026-11-23,,Unit 4: Adventuring
14,Wednesday,n/a,,,2026-11-25,No class (Student Wellness Day),Unit 4: Adventuring
15,Monday,Project presentations,,,2026-11-30,,Unit 4: Adventuring
15,Wednesday,Project presentations,,,2026-12-02,,Unit 4: Adventuring
